ratio,channels,inf_time,ap,mflops,reduction_pct,macs
0.0,"[16, 32, 64, 128, 256, 512, 1024, 1024]",1.8213293996523134,0.5722371301521831,4112.2876,0.0,2056143800
0.1,"[15, 29, 58, 116, 231, 461, 922, 922]",1.6893316233181395,0.4838703415947926,3362.6208,18.22992146755493,1681310400
0.2,"[14, 26, 52, 104, 206, 410, 820, 820]",1.5021836039377376,0.4635677617518963,2689.1048,34.60805610969426,1344552400
0.3,"[13, 23, 46, 91, 181, 359, 718, 718]",1.287421859393362,0.46220609060557477,2089.1084,49.19838777813108,1044554200
0.4,"[12, 20, 40, 79, 156, 308, 616, 616]",0.9383831562008709,0.42923322269075453,1568.2468,61.86436960294315,784123400
0.5,"[11, 17, 34, 66, 131, 257, 514, 514]",0.9084799119154923,0.4183684412683487,1121.6104,72.7253901210606,560805200
0.6,"[9, 14, 28, 53, 105, 206, 412, 412]",0.9491609201650135,0.39255180970582515,738.8916,82.03210300758147,369445800
0.7,"[7, 11, 22, 40, 79, 155, 310, 310]",0.9330607845331542,0.23926076570559401,436.1648,89.39362120489822,218082400
0.8,"[5, 8, 15, 27, 53, 104, 207, 207]",0.902414876036346,0.09090909090909091,210.7774,94.87444895634245,105388700
