epoch,loss,ap,lr_backbone,lr_head
1,20.62193068336038,0.09254742598091967,0.001,0.001
2,7.462139396106496,0.09284420280733872,0.001,0.001
3,5.6931862129884605,0.09308018280673655,0.001,0.001
4,4.782633437829859,0.0932275853438796,0.001,0.001
5,4.174646419637344,0.09409891394987079,0.001,0.001
6,3.7501845640294693,0.09437611573753948,0.001,0.001
7,2.500552738414091,0.1670005874029912,0.0005,0.0005
8,2.473058483179878,0.2118866463786275,0.0005,0.0005
9,2.464522866641774,0.21091297579400275,0.0005,0.0005
10,2.447845627279843,0.20813570411213497,0.0005,0.0005
11,2.432099461555481,0.24985481706495413,0.0005,0.0005
12,2.4030368328094482,0.27922686096588767,0.00025,0.00025
13,2.38133503408993,0.27534648731148487,0.00025,0.00025
14,2.3672404955415165,0.32550380496536796,0.00025,0.00025
15,2.34421145214754,0.3612366203678673,0.00025,0.00025
1,2.3223188905154957,0.4091906497340018,1e-06,0.0001
2,2.26426923976225,0.44144631740356727,1e-06,0.0001
3,2.2371611630215362,0.43990950087625164,1e-06,0.0001
4,2.1563804991105022,0.519265273642949,1e-06,0.0001
5,2.1502243876457214,0.5185623159219769,1e-06,0.0001
6,2.1220942840856662,0.5115341830420409,1e-06,0.0001
7,2.1105492185143864,0.5232495887587182,1e-06,0.0001
8,2.090314605656792,0.509322083813819,1e-06,0.0001
9,2.061528205871582,0.522150650477613,1e-06,0.0001
10,2.0538043555091408,0.5187659627634199,1e-06,0.0001
11,2.0390137679436626,0.5172488750533035,1e-06,0.0001
12,2.0275875084540425,0.5131734421491956,5e-07,5e-05
13,2.023313112118665,0.5185372282863528,5e-07,5e-05
14,2.0216462121290317,0.5325076284511469,5e-07,5e-05
15,1.9955444546306835,0.5188235121093597,5e-07,5e-05
16,1.9785351823357975,0.5246896715530132,5e-07,5e-05
17,1.9990266842000626,0.525173480315984,5e-07,5e-05
18,2.008515922462239,0.5382188439364598,5e-07,5e-05
19,1.9874506557688993,0.5295409805075548,5e-07,5e-05
20,1.9759512473555172,0.5412721233869114,5e-07,5e-05
21,2.016220755436841,0.535093337899503,5e-07,5e-05
22,1.9892312428530525,0.5333590514720371,5e-07,5e-05
23,1.9700768344542559,0.5394327642953135,5e-07,5e-05
24,1.959254180683809,0.528171075305295,5e-07,5e-05
25,1.9302693850853865,0.5369392363523494,2.5e-07,2.5e-05
26,1.9595218861804289,0.5384042279008446,2.5e-07,2.5e-05
27,1.9772346335298874,0.5380749106883994,2.5e-07,2.5e-05
28,1.9505119814592249,0.5384456233840699,2.5e-07,2.5e-05
29,1.9645634293556213,0.5401242311009959,1.25e-07,1.25e-05
30,1.9637088880819433,0.5369983517130179,1.25e-07,1.25e-05
