epoch,loss,ap,lr_backbone,lr_head
1,20.62193068336038,0.09254742598091967,0.001,0.001
2,7.462139396106496,0.09284420280733872,0.001,0.001
3,5.6931862129884605,0.09308018280673655,0.001,0.001
4,4.782633437829859,0.0932275853438796,0.001,0.001
5,4.174646419637344,0.09409891394987079,0.001,0.001
6,3.7501845640294693,0.09437611573753948,0.001,0.001
7,2.500552738414091,0.1670005874029912,0.0005,0.0005
8,2.473058483179878,0.2118866463786275,0.0005,0.0005
9,2.464522866641774,0.21091297579400275,0.0005,0.0005
10,2.447845627279843,0.20813570411213497,0.0005,0.0005
11,2.432099461555481,0.24985481706495413,0.0005,0.0005
12,2.4030368328094482,0.27922686096588767,0.00025,0.00025
13,2.38133503408993,0.27534648731148487,0.00025,0.00025
14,2.3672404955415165,0.32550380496536796,0.00025,0.00025
15,2.34421145214754,0.3612366203678673,0.00025,0.00025
1,2.320977856131161,0.4260877342870927,1e-06,0.0001
2,2.282835367847891,0.4403342113164323,1e-06,0.0001
3,2.229807233109194,0.4433554343993427,1e-06,0.0001
4,2.1644977471407723,0.45946825607579894,1e-06,0.0001
5,2.13353787800845,0.510356863975868,1e-06,0.0001
6,2.1093944311141968,0.5281620901831471,1e-06,0.0001
7,2.1040045233333813,0.5180516624369329,1e-06,0.0001
8,2.069449172300451,0.5280918005892391,1e-06,0.0001
9,2.0370544300359836,0.5119199215883395,1e-06,0.0001
10,2.0314235897625195,0.527509862403858,1e-06,0.0001
11,2.032208039480097,0.5168055652680321,5e-07,5e-05
12,2.011991798877716,0.5217432170981119,5e-07,5e-05
13,2.00179029562894,0.5332698564176012,5e-07,5e-05
14,2.0080113586257484,0.5381180910746788,5e-07,5e-05
15,1.9985278844833374,0.5250822671333583,5e-07,5e-05
16,2.0070297718048096,0.5371995921455515,5e-07,5e-05
17,1.9977764767758988,0.519481211692355,5e-07,5e-05
18,1.9964968421879936,0.5363404933470717,5e-07,5e-05
19,1.9745405070921953,0.5351222760264925,2.5e-07,2.5e-05
20,1.985499834313112,0.5306429740593877,2.5e-07,2.5e-05
21,1.9531911050572115,0.532052495564381,2.5e-07,2.5e-05
22,1.9719944350859697,0.5337975521119318,2.5e-07,2.5e-05
23,1.952812787364511,0.5336781611835905,1.25e-07,1.25e-05
24,1.962495000923381,0.5381036701556361,1.25e-07,1.25e-05
25,1.9596919347258175,0.5407518044587248,1.25e-07,1.25e-05
26,1.9706189597354216,0.5340640511636969,1.25e-07,1.25e-05
27,1.9459004647591536,0.5363199349770302,1.25e-07,1.25e-05
28,2.0076119198518643,0.5322722197793336,1.25e-07,1.25e-05
29,1.9654464406125687,0.5398269271331515,1.25e-07,1.25e-05
30,1.9533575387562023,0.541009229069693,6.25e-08,6.25e-06
