ratio,channels,inf_time,ap,mflops,reduction_pct,macs
0.0,"[16, 32, 64, 128, 256, 512, 1024, 1024]",1.8898875291633885,0.5731696712379791,4112.2876,0.0,2056143800
0.1,"[15, 29, 58, 116, 231, 461, 922, 922]",1.6835817839892115,0.4773680987074058,3362.6208,18.22992146755493,1681310400
0.2,"[14, 26, 52, 104, 206, 410, 820, 820]",1.4915468899416737,0.47630266589884235,2689.1048,34.60805610969426,1344552400
0.3,"[13, 23, 46, 91, 181, 359, 718, 718]",1.2959589981473982,0.45227433072071094,2089.1084,49.19838777813108,1044554200
0.4,"[12, 20, 40, 79, 156, 308, 616, 616]",0.951957504323218,0.4225194838237668,1568.2468,61.86436960294315,784123400
0.5,"[11, 17, 34, 66, 131, 257, 514, 514]",0.9180414401635062,0.39423567321466985,1121.6104,72.7253901210606,560805200
0.6,"[9, 14, 28, 53, 105, 206, 412, 412]",0.9637920885870699,0.33074008951410006,738.8916,82.03210300758147,369445800
0.7,"[7, 11, 22, 40, 79, 155, 310, 310]",0.9236097278480884,0.25595360916756404,436.1648,89.39362120489822,218082400
0.8,"[5, 8, 15, 27, 53, 104, 207, 207]",0.9352357991156168,0.09090909090909091,210.7774,94.87444895634245,105388700
